snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-08-14,Allure @ Harbor Point,1,801,3BR,3,2.0,1510,6195.0,,asking,,9/29/26,,,
2026-08-14,Allure @ Harbor Point,1,403,Studio,0,1.0,568,2595.0,,asking,,8/30/26,,,
2026-08-14,Anthem @ Harbor Point,1,1109,1BR,1,1.0,889,3495.0,,asking,,8/15/26,,,
2026-08-14,Anthem @ Harbor Point,1,225,1BR,1,1.0,741,2915.0,,asking,,10/13/26,,,
2026-08-14,Anthem @ Harbor Point,1,326,1BR,1,1.0,714,3065.0,,asking,,,,,
2026-08-14,Anthem @ Harbor Point,1,509,1BR,1,1.0,889,3395.0,,asking,,9/23/26,,,
2026-08-14,Anthem @ Harbor Point,1,512,1BR,1,1.0,797,3195.0,,asking,,9/13/26,,,
2026-08-14,Anthem @ Harbor Point,1,805,1BR,1,1.0,899,3415.0,,asking,,9/30/26,,,
2026-08-14,Anthem @ Harbor Point,1,808,1BR,1,1.0,753,3395.0,,asking,,,,,
2026-08-14,Anthem @ Harbor Point,1,1114,2BR,2,2.0,1328,7745.0,,asking,,8/15/26,,,
2026-08-14,Anthem @ Harbor Point,1,1513,2BR,2,2.0,1469,7645.0,,asking,,,,,
2026-08-14,Anthem @ Harbor Point,1,1601,2BR,2,2.0,1364,5645.0,,asking,,8/26/26,,,
2026-08-14,Anthem @ Harbor Point,1,409,2BR,2,2.0,1514,6395.0,,asking,,10/16/26,,,
2026-08-14,Anthem @ Harbor Point,1,601,2BR,2,2.0,1364,5445.0,,asking,,8/27/26,,,
2026-08-14,Anthem @ Harbor Point,1,701,2BR,2,2.0,1364,5465.0,,asking,,8/27/26,,,
2026-08-14,Anthem @ Harbor Point,1,702,2BR,2,2.0,1136,4935.0,,asking,,8/27/26,,,
2026-08-14,Anthem @ Harbor Point,1,802,2BR,2,2.0,1136,4885.0,,asking,,8/27/26,,,
2026-07-13,Beacon Harbor Point,1,202,1BR,1,1.0,953,3995.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,209,1BR,1,1.0,859,3115.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,250,1BR,1,1.0,828,3565.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,252,1BR,1,1.0,953,3895.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,257,1BR,1,1.0,811,2965.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,310,1BR,1,1.0,859,3845.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,350,1BR,1,1.0,828,3415.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,409,1BR,1,1.0,859,3465.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,504,1BR,1,1.0,859,3695.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,1300,2BR,2,2.0,1235,6595.0,,asking,,,,,
