unit_type,units_available,asking_avg,asking_min,asking_max,net_eff_avg,avg_sqft,asking_psf,net_eff_psf
Studio,4,2446,2341.0,2655.0,,550,53.37,
1BR,118,3099,2400.0,4015.0,,791,47.01,
2BR,70,4828,3400.0,8195.0,,1236,46.87,
3BR,1,6895,6895.0,6895.0,,1480,55.91,
All,193,3732,2341.0,8195.0,,951,47.09,
