unit_type,units_available,asking_avg,asking_min,asking_max,net_eff_avg,avg_sqft,asking_psf,net_eff_psf
Studio,129,3023,1938.0,4175.0,2956,496,73.14,71.52
1BR,236,3650,2234.0,5695.0,3583,736,59.51,58.42
2BR,127,4961,2800.0,10200.0,5432,1097,54.27,59.42
3BR,19,7070,3300.0,12450.0,6026,1455,58.31,49.7
All,512,3948,1938.0,12450.0,3647,781,60.66,56.04
