snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-07-13,Beacon Harbor Point,1,250,1BR,1,1.0,828,3565.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,252,1BR,1,1.0,953,3895.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,257,1BR,1,1.0,811,2965.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,310,1BR,1,1.0,859,3845.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,350,1BR,1,1.0,828,3415.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,409,1BR,1,1.0,859,3465.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,504,1BR,1,1.0,859,3695.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,1300,2BR,2,2.0,1235,6595.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,1405,2BR,2,2.0,1182,5695.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,953,2BR,2,2.0,1182,5345.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,513,Studio,0,1.0,430,2395.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,1104,1BR,1,1.0,902,3635.0,,asking,,10/7/26,,,
2026-09-24,Escape @ Harbor Point,1,1155,1BR,1,1.0,817,3365.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,1206,1BR,1,1.0,746,3465.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,1405,1BR,1,1.0,817,3395.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,1460,1BR,1,1.0,763,3465.0,,asking,,11/3/26,,,
2026-09-24,Escape @ Harbor Point,1,1556,1BR,1,1.0,746,3715.0,,asking,,9/28/26,,,
2026-09-24,Escape @ Harbor Point,1,1805,1BR,1,1.0,817,3435.0,,asking,,11/19/26,,,
2026-09-24,Escape @ Harbor Point,1,1806,1BR,1,1.0,746,3495.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,2108,1BR,1,1.0,701,3395.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,2157,1BR,1,1.0,684,3415.0,,asking,,11/11/26,,,
2026-09-24,Escape @ Harbor Point,1,608,1BR,1,1.0,701,3245.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,654,1BR,1,1.0,792,3495.0,,asking,,9/26/26,,,
2026-09-24,Escape @ Harbor Point,1,857,1BR,1,1.0,820,3315.0,,asking,,10/23/26,,,
2026-09-24,Escape @ Harbor Point,1,1002,2BR,2,2.0,1136,5495.0,,asking,,10/21/26,,,
2026-09-24,Escape @ Harbor Point,1,1212,2BR,2,2.0,1136,5735.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,156,2BR,2,2.0,1457,5535.0,,asking,,10/7/26,,,
2026-09-24,Escape @ Harbor Point,1,1609,2BR,2,2.0,1347,5555.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,1859,2BR,2,2.0,1347,6135.0,,asking,,11/2/26,,,
2026-09-24,Escape @ Harbor Point,1,1901,2BR,2,2.0,1300,5655.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,1962,2BR,2,2.0,1136,5785.0,,asking,,10/9/26,,,
2026-09-24,Escape @ Harbor Point,1,602,2BR,2,2.0,1136,5415.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,651,2BR,2,2.0,1300,5235.0,,asking,,10/2/26,,,
2026-09-24,Escape @ Harbor Point,1,702,2BR,2,2.0,1136,5435.0,,asking,,,,,
2026-09-24,Escape @ Harbor Point,1,801,2BR,2,2.0,1300,5485.0,,asking,,10/1/26,,,
2026-09-24,Escape @ Harbor Point,1,902,2BR,2,2.0,1136,5485.0,,asking,,,,,
2026-08-17,Harbor Landing,1,242,1BR,1,1.0,685,2591.0,,asking,,8/31/2026,,,
2026-08-17,Harbor Landing,1,252,1BR,1,1.0,685,2546.0,,asking,,9/27/2026,,,
2026-08-17,Harbor Landing,1,441,1BR,1,1.0,685,2731.0,,asking,,8/27/2026,,,
2026-08-17,Harbor Landing,1,454,1BR,1,1.0,685,2596.0,,asking,,9/17/2026,,,
2026-08-17,Harbor Landing,1,G09,1BR,1,1.0,685,2507.0,,asking,,,,,
2026-08-17,Harbor Landing,1,202,2BR,2,2.0,1181,3763.0,,asking,,10/7/2026,,,
2026-08-17,Harbor Landing,1,315,2BR,2,2.0,1243,3505.0,,asking,,,,,
2026-08-17,Harbor Landing,1,331,2BR,2,2.0,1203,4003.0,,asking,,10/6/2026,,,
2026-08-17,Harbor Landing,1,348,2BR,2,2.0,1044,3449.0,,asking,,9/7/2026,,,
2026-09-24,Infinity Harbor Point,1,B1-1,2BR,2,2.0,1236,3925.0,,asking,,,,,
2026-09-24,Infinity Harbor Point,1,B10-1,2BR,2,2.0,1142,3950.0,,asking,,,,,
2026-09-24,Infinity Harbor Point,1,B9-1,2BR,2,2.0,1401,4975.0,,asking,,,,,
2026-09-24,Infinity Harbor Point,1,T2-1,2BR,2,2.0,1164,3400.0,,asking,,,,,
2026-09-24,NV @ Harbor Point,1,1510,1BR,1,1.0,759,3155.0,,asking,,,,,
2026-09-24,NV @ Harbor Point,1,1554,1BR,1,1.0,759,3145.0,,asking,,12/8/26,,,
2026-09-24,NV @ Harbor Point,1,1610,1BR,1,1.0,759,3165.0,,asking,,,,,
2026-09-24,NV @ Harbor Point,1,1662,1BR,1,1.0,896,3215.0,,asking,,10/31/26,,,
2026-09-24,NV @ Harbor Point,1,317,1BR,1,1.0,1081,3745.0,,asking,,11/10/26,,,
2026-09-24,NV @ Harbor Point,1,354,1BR,1,1.0,759,3195.0,,asking,,11/28/26,,,
2026-09-24,NV @ Harbor Point,1,611,1BR,1,1.0,969,3185.0,,asking,,10/20/26,,,
2026-09-24,NV @ Harbor Point,1,1052,2BR,2,2.0,1109,4165.0,,asking,,10/27/26,,,
2026-09-24,NV @ Harbor Point,1,106,2BR,2,2.0,1310,4595.0,,asking,,,,,
2026-09-24,NV @ Harbor Point,1,1061,2BR,2,2.0,1109,4150.0,,asking,,11/20/26,,,
2026-09-24,NV @ Harbor Point,1,107,2BR,2,2.0,1310,4395.0,,asking,,,,,
2026-09-24,NV @ Harbor Point,1,116,2BR,2,2.0,1310,4495.0,,asking,,10/23/26,,,
2026-09-24,NV @ Harbor Point,1,1261,2BR,2,2.0,1109,4165.0,,asking,,,,,
2026-09-24,NV @ Harbor Point,1,1458,2BR,2,2.0,1109,4195.0,,asking,,10/30/26,,,
2026-09-24,NV @ Harbor Point,1,1508,2BR,2,2.0,1109,4295.0,,asking,,11/4/26,,,
2026-09-24,NV @ Harbor Point,1,303,2BR,2,1.0,1055,3795.0,,asking,,,,,
2026-09-24,NV @ Harbor Point,1,305,2BR,2,2.0,1109,4395.0,,asking,,,,,
2026-09-24,Opus @ Harbor Point,1,107,1BR,1,1.0,1150,4115.0,,asking,,10/7/26,,,
