unit_type,units_available,asking_avg,asking_min,asking_max,net_eff_avg,avg_sqft,asking_psf,net_eff_psf
Studio,3,2482,2395.0,2655.0,,569,52.34,
1BR,105,3130,2440.0,4295.0,,797,47.13,
2BR,69,4878,3229.0,8045.0,,1225,47.78,
3BR,3,6030,4200.0,6995.0,,1450,49.9,
All,180,3837,2395.0,8045.0,,968,47.57,
