unit_type,units_available,asking_avg,asking_min,asking_max,net_eff_avg,avg_sqft,asking_psf,net_eff_psf
Studio,112,3059,1733.0,6155.0,3019,489,75.07,74.09
1BR,224,3649,2242.0,5940.0,3639,742,59.01,58.85
2BR,134,5090,2765.0,10015.0,5148,1099,55.58,56.21
3BR,22,7081,3100.0,12185.0,5855,1472,57.73,47.73
All,492,4061,1733.0,12185.0,3750,808,60.31,55.69
