unit_type,units_available,asking_avg,asking_min,asking_max,net_eff_avg,avg_sqft,asking_psf,net_eff_psf
Studio,65,3169,2200.0,4096.0,2977,476,79.89,75.05
1BR,98,3661,2500.0,4576.0,3551,714,61.53,59.68
2BR,35,5153,3175.0,6596.0,5253,1023,60.45,61.62
3BR,6,5978,3100.0,7500.0,5920,1288,55.7,55.16
All,204,3828,2200.0,7500.0,3643,694,66.19,62.99
